"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","record_id","session","project","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing"
"true","false","[]","[]","[]","preload","0","204","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2450","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","2","3897","0.0-2.0","1441","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","8414","0.0-4.0","4513","","","[{""page_index"":0,""viewing_time"":2098},{""page_index"":1,""viewing_time"":966},{""page_index"":2,""viewing_time"":1448}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","13755","0.0-5.0-0.0","","","","","test8","undefinedundefined","undefined","[0,1]","1","1","1045","0","0","[0,1]","1","1","2277","0","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[980,1644]","1","1","[0.412,0.317,0.453,0.743]","2","0","false"
"","","","","","two-step-trial","5","22515","0.0-6.0-0.0","","","","","test8","undefinedundefined","undefined","[0,1]","1","1","3411","1","1","[2,3]","1","3","3336","0","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[980,1644]","1","2","[0.402,0.305,0.461,0.702]","2","0","false"
"","","","","","two-step-trial","6","41067","0.0-7.0-0.0","","","","","test8","undefinedundefined","undefined","[0,1]","1","1","9082","1","1","[2,3]","1","3","7456","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[980,1644]","1","3","[0.373,0.327,0.445,0.732]","2","0","false"
"","","","","","two-step-trial","7","51617","0.0-8.0-0.0","","","","","test8","undefinedundefined","undefined","[0,1]","1","1","7066","1","1","[2,3]","1","3","1473","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[980,1644]","1","4","[0.381,0.303,0.418,0.736]","2","0","false"
"","","","","","two-step-trial","8","58737","0.0-9.0-0.0","","","","","test8","undefinedundefined","undefined","[0,1]","1","1","3204","0","0","[0,1]","1","1","1906","0","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[980,1644]","1","5","[0.366,0.363,0.401,0.709]","2","0","false"
"","","","","","two-step-trial","9","67601","0.0-10.0-0.0","","","","","test8","undefinedundefined","undefined","[0,1]","1","1","4825","0","0","[0,1]","1","1","2025","0","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[980,1644]","1","6","[0.393,0.368,0.383,0.711]","2","0","false"
"","","","","","two-step-trial","10","72153","0.0-11.0-0.0","","","","","test8","undefinedundefined","undefined","[0,1]","1","1","1048","1","1","[2,3]","1","3","1490","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[980,1644]","1","7","[0.4,0.405,0.425,0.678]","2","0","false"
"","","","","","two-step-trial","11","78084","0.0-12.0-0.0","","","","","test8","undefinedundefined","undefined","[0,1]","1","1","2686","1","1","[2,3]","1","3","1232","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[980,1644]","1","8","[0.383,0.388,0.415,0.699]","2","0","false"
